sku,dbs_orig_customer_number,categories
100-1000,0,Medical Forms/Appointment Reminder/Appointment Reminder Card
100-2000,0,Medical Forms/Appointment Reminder/Appointment Reminder Card
100-3000,0,Medical Forms/Appointment Reminder/Appointment Reminder Card
100-5000,0,Medical Forms/Appointment Reminder/Appointment Reminder Card
100-config,0,Medical Forms/Appointment Reminder/Appointment Reminder Card
134-10000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
134-20000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
134-2500,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
134-5000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
134-7500,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
134-config,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
486-10000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
486-2500,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
486-5000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
486-7500,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
486-config,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
870-1000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
870-10000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
870-2500,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
870-5000,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
870-7500,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
870-config,0,Medical Forms/Bill Forms/Blank Statement / Invoice Paper
154-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
154-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
154-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
154-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
154-config,0,Medical Forms/Bill Forms/Medical Data Mailers
155-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
155-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
155-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
155-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
155-config,0,Medical Forms/Bill Forms/Medical Data Mailers
156-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
156-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
156-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
156-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
156-config,0,Medical Forms/Bill Forms/Medical Data Mailers
157-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
157-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
157-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
157-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
157-config,0,Medical Forms/Bill Forms/Medical Data Mailers
158-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
158-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
158-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
158-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
158-config,0,Medical Forms/Bill Forms/Medical Data Mailers
159-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
159-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
159-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
159-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
159-config,0,Medical Forms/Bill Forms/Medical Data Mailers
160-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
160-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
160-3000,0,Medical Forms/Bill Forms/Medical Data Mailers
160-5000,0,Medical Forms/Bill Forms/Medical Data Mailers
160-config,0,Medical Forms/Bill Forms/Medical Data Mailers
161-1000,0,Medical Forms/Bill Forms/Medical Data Mailers
161-10000,0,Medical Forms/Bill Forms/Medical Data Mailers
161-2000,0,Medical Forms/Bill Forms/Medical Data Mailers
161-6000,0,Medical Forms/Bill Forms/Medical Data Mailers
161-config,0,Medical Forms/Bill Forms/Medical Data Mailers
